Key,Text
CINEMATIC_INTRO_001,"Per cinquecento anni, Mirkea conobbe la guerra."
CINEMATIC_INTRO_002,"Aldoria, grande regno umano, e Xwin, fiero\nImpero dei Minotauri, si dissanguarono senza fine."
CINEMATIC_INTRO_003,La pace divenne un sogno lontano.
CINEMATIC_INTRO_004,"Così due anime, da fronti opposti, la cercarono\ndove nessun regno aveva osato..."
CINEMATIC_INTRO_005,sui Monti di Dimraeth.
CINEMATIC_INTRO_006,"Lì infuriava la magia selvaggia: la fonte da cui\nogni magia sgorgava, e a cui ogni magia tornava."
CINEMATIC_INTRO_007,"Antark, Figlio Imperiale di Xwin.\nTolais, grande inventore umano."
CINEMATIC_INTRO_008,Insieme sfidarono le vette\ne impararono a domare la magia selvaggia.
CINEMATIC_INTRO_009,"Su quel focolare fondarono Dimraeth,\ncittà di progresso, pace e unità"
CINEMATIC_INTRO_010,per ogni razza di Mirkea.
CINEMATIC_INTRO_011,Dimraeth dimostrò a Mirkea\nche la pace si poteva costruire.
CINEMATIC_INTRO_012,Ma non tutti i cuori anelano all'unità.
CINEMATIC_INTRO_013,"Sylbos, Signore Oscuro di Dolmarok, ultimo dei\nMaghi Ogre, bramava il potere di Dimraeth."
CINEMATIC_INTRO_014,"Marciò da nord con un esercito di schiavi,\nfinché le porte di Dimraeth tremarono sotto la sua orda."
CINEMATIC_INTRO_015,Lì i popoli liberi di Mirkea\ngli si opposero.
CINEMATIC_INTRO_016,Spezzarono la sua orda e lo respinsero.
CINEMATIC_INTRO_017,Ma la vittoria esigeva un prezzo.
CINEMATIC_INTRO_018,"Antark cadde, difendendo il sogno che aveva costruito."
CINEMATIC_INTRO_019,"Respinto e amareggiato dalla sconfitta, Sylbos tornò\na Dolmarok e si consacrò agli Dei Oscuri."
CINEMATIC_INTRO_020,"Forte della corruzione e di una magia più antica,\nlanciò un incantesimo per legare la sua volontà"
CINEMATIC_INTRO_021,al piano mortale\ne rendersi immortale.
CINEMATIC_INTRO_022,"Faustas, il venerabile mago, udì\nle empie parole nel vento e rispose."
CINEMATIC_INTRO_023,I loro poteri si scontrarono nei cieli.
CINEMATIC_INTRO_024,L'incantesimo si infranse.
CINEMATIC_INTRO_025,Eppure il suo potere non svanì.
CINEMATIC_INTRO_026,"L'immortalità destinata al solo Sylbos si sparse\nsu Mirkea, legandosi ad anime disperse."
CINEMATIC_INTRO_027,"Faustas cercò di radunarle\nprima che Sylbos le trovasse,"
CINEMATIC_INTRO_028,"ma la magia selvaggia ancora turbinava nell'aria,"
CINEMATIC_INTRO_029,e il suo incantesimo fallì.
CINEMATIC_INTRO_030,Così ha inizio la nostra storia.
CINEMATIC_INTRO_031,"Non nel trionfo, né nelle sale dei re,"
CINEMATIC_INTRO_032,"ma nell'oscurità, nelle profondità del mondo,"
CINEMATIC_INTRO_033,dove gli smarriti si risvegliano...
CINEMATIC_INTRO_034,e persino la morte potrebbe già\naver perso la sua presa.
CINEMATIC_PAUSE_PROMPT,Pausa
CINEMATIC_RESUME_PROMPT,Riprendi
CINEMATIC_SKIP_PROMPT,Salta
