Key,Text
CODEX_BUILD85_DESC,Un tavolo in panno per una partita amichevole di Hold'em. Interagisci per sederti; altri giocatori possono accomodarsi e sfidarti.
CODEX_BUILD85_NAME,Tavolo da Poker
CODEX_BUILDALCHEMYTABLE_DESC,Prepara pozioni e tonici semplici.
CODEX_BUILDALCHEMYTABLE_NAME,Tavolo d'alchimia
CODEX_BUILDALPHAFURRUG_DESC,Un tappeto ricavato dalla pelliccia di un lupo alfa.
CODEX_BUILDALPHAFURRUG_NAME,Tappeto di Pelliccia Alfa
CODEX_BUILDAPPLETREEPLOT_DESC,Un melo cresciuto da seme. Raccogli il frutto quando matura.
CODEX_BUILDAPPLETREEPLOT_NAME,Appezzamento di Meli
CODEX_BUILDBARRELCHAIR_DESC,Sedie a botte del Villaggio di Earlwood.
CODEX_BUILDBARRELCHAIR_NAME,Sedia a Botte
CODEX_BUILDBASILTONGARDEN_DESC,Un assortimento dal Giardino di Basilton. Puramente decorativo.
CODEX_BUILDBASILTONGARDEN_NAME,Giardino di Basilton
CODEX_BUILDBRAZIER_DESC,Un ampio braciere per una luce intensa e costante.
CODEX_BUILDBRAZIER_NAME,Braciere
CODEX_BUILDCAMPFIRE_DESC,Cucina cibo semplice e illumina il campo.
CODEX_BUILDCAMPFIRE_NAME,Falò
CODEX_BUILDCAMPFIRECLONE_NAME,Vecchio Falò
CODEX_BUILDCHICKENCOOP_DESC,Un pollaio. Produce periodicamente uova da raccogliere.
CODEX_BUILDCHICKENCOOP_NAME,Pollaio
CODEX_BUILDCOPPERQUARRY_DESC,Una cava che produce periodicamente rame da raccogliere.
CODEX_BUILDCOPPERQUARRY_NAME,Cava di Rame
CODEX_BUILDCORRUPTEDTREANTTROPHY_DESC,Un cupo trofeo ricavato da un Treant corrotto.
CODEX_BUILDCORRUPTEDTREANTTROPHY_NAME,Trofeo di Treant Corrotto
CODEX_BUILDDAISYPATCH_DESC,Un'aiuola di margherite. Puramente decorativa.
CODEX_BUILDDAISYPATCH_NAME,Aiuola di Margherite
CODEX_BUILDDIRTPATCH_DESC,Una porzione di terreno arato. Puramente decorativa: puoi costruirci sopra qualsiasi cosa.
CODEX_BUILDDIRTPATCH_NAME,Zona di Terra
CODEX_BUILDDROOPFARM_DESC,Un allevamento di Droop. Produce periodicamente Nuclei di Droop da raccogliere.
CODEX_BUILDDROOPFARM_NAME,Allevamento di Droop
CODEX_BUILDDUMMY_DESC,Un manichino da allenamento in legno
CODEX_BUILDDUMMY_NAME,Manichino da allenamento
CODEX_BUILDEARLWOODBANNER_DESC,Stendardo del Villaggio di Earlwood
CODEX_BUILDEARLWOODBANNER_NAME,Stendardo di Earlwood
CODEX_BUILDEARLWOODBED_DESC,Un robusto letto del villaggio per dormire e recuperare. Usa per dormire. \n Conferisce il Bonus Ben Riposato: \n Bonus XP dai mostri: 15% \n Decadimento di Fame e Sete ridotto: 10% \n Durata: 15 minuti
CODEX_BUILDEARLWOODBED_NAME,Letto di Earlwood
CODEX_BUILDEARLWOODFENCE_DESC,Recinzione di Earlwood.
CODEX_BUILDEARLWOODFENCE_NAME,Recinto di Earlwood
CODEX_BUILDEARLWOODFENCEGATE_DESC,Un cancello abbastanza largo da farci passare un carro.
CODEX_BUILDEARLWOODFENCEGATE_NAME,Cancello di Earlwood
CODEX_BUILDEARLWOODPOTPLANT_DESC,Piante in vaso del Villaggio di Earlwood
CODEX_BUILDEARLWOODPOTPLANT_NAME,Pianta in Vaso di Earlwood
CODEX_BUILDEARLWOODWALLBANNER_DESC,Stendardo da muro del Villaggio di Earlwood
CODEX_BUILDEARLWOODWALLBANNER_NAME,Stendardo da Muro di Earlwood
CODEX_BUILDEMBERBLOOMPLOT_DESC,Un appezzamento seminato a Emberbloom. Raccogli quando matura.
CODEX_BUILDEMBERBLOOMPLOT_NAME,Appezzamento di Emberbloom
CODEX_BUILDEMPTYPLOT_NAME,Appezzamento Vuoto
CODEX_BUILDEMPTYPLOTB_NAME,Appezzamento Vuoto
CODEX_BUILDFACILITYCENTER_DESC,Centro nevralgico per migliorare e riparare le strutture della base. Interagisci per vedere i miglioramenti disponibili.
CODEX_BUILDFACILITYCENTER_NAME,Centro Servizi
CODEX_BUILDFLAXPLOT_DESC,Un appezzamento seminato a Lino Selvatico. Raccogli quando matura.
CODEX_BUILDFLAXPLOT_NAME,Appezzamento di Lino Selvatico
CODEX_BUILDFRAYEDRUG_DESC,Un semplice tappeto logoro colorato.
CODEX_BUILDFRAYEDRUG_NAME,Tappeto Logoro
CODEX_BUILDGOBLINKINGTROPHY_DESC,Trofeo da muro ricavato da un Re Goblin abbattuto.
CODEX_BUILDGOBLINKINGTROPHY_NAME,Trofeo del Re Goblin
CODEX_BUILDGRASSPATCH_DESC,Una zona d'erba. Puramente decorativa.
CODEX_BUILDGRASSPATCH_NAME,Zona d'Erba
CODEX_BUILDHEARTOAKBED_DESC,Un letto in Quercia del Cuore per dormire e recuperare. Usalo per dormire. \n Conferisce il Bonus Ben Riposato: \n Bonus XP dai mostri: 15% \n Calo del nutrimento ridotto: 10% \n Durata: 15 minuti
CODEX_BUILDHEARTOAKBED_NAME,Letto di Quercia del Cuore
CODEX_BUILDHEARTOAKDOORWAY_DESC,Telaio in Durame
CODEX_BUILDHEARTOAKDOORWAY_NAME,Telaio in Durame
CODEX_BUILDHEARTOAKFENCE_DESC,Recinzione in Quercia del Cuore.
CODEX_BUILDHEARTOAKFENCE_NAME,Recinto di Quercia del Cuore
CODEX_BUILDHEARTOAKFENCEGATE_DESC,Un cancello abbastanza largo da farci passare un carro.
CODEX_BUILDHEARTOAKFENCEGATE_NAME,Cancello di Quercia del Cuore
CODEX_BUILDHEARTOAKMILL_DESC,Un mulino che produce periodicamente Quercia del Cuore da raccogliere.
CODEX_BUILDHEARTOAKMILL_NAME,Mulino di Quercia del Cuore
CODEX_BUILDHEARTWOODCHEST_DESC,Ampio deposito per attrezzatura e materiali. Usalo come deposito.
CODEX_BUILDHEARTWOODCHEST_NAME,Cassa in Durame
CODEX_BUILDHEARTWOODDOOR_DESC,Tieni chiusa la tua stanza
CODEX_BUILDHEARTWOODDOOR_NAME,Porta in Durame
CODEX_BUILDHEARTWOODFOUNDATION_DESC,Una fondazione in durame per una casa.
CODEX_BUILDHEARTWOODFOUNDATION_NAME,Pavimento in Durame
CODEX_BUILDHEARTWOODPILLAR_NAME,Pilastro in Durame
CODEX_BUILDHEARTWOODTABLE_DESC,Un tavolo robusto per case e sale.
CODEX_BUILDHEARTWOODTABLE_NAME,Tavolo in Durame
CODEX_BUILDHEARTWOODWALL_DESC,Muro in Durame
CODEX_BUILDHEARTWOODWALL_NAME,Muro in Durame
CODEX_BUILDJJFISH_DESC,Un grande pesce impagliato. Puramente decorativo.
CODEX_BUILDJJFISH_NAME,Pesce JJ
CODEX_BUILDLARGETENT_DESC,Una tenda da spedizione logora per allestire un campo. Usa per dormire. \n Conferisce il Bonus Ben Riposato: \n Bonus XP dai mostri: 10% \n Decadimento di Fame e Sete ridotto: 5% \n Durata: 10 minuti
CODEX_BUILDLARGETENT_NAME,Tenda Grande
CODEX_BUILDLINENRUG_DESC,Un semplice tappeto di lino colorato
CODEX_BUILDLINENRUG_NAME,Tappeto di Lino
CODEX_BUILDMUDFENCE_DESC,Recinzione dal Giardino di Basilton.
CODEX_BUILDMUDFENCE_NAME,Recinto di Fango
CODEX_BUILDMUDFENCEGATE_DESC,Un cancello abbastanza largo da farci passare un carro.
CODEX_BUILDMUDFENCEGATE_NAME,Cancello di Fango
CODEX_BUILDOAKCABINET_DESC,Deposito affidabile per attrezzatura e materiali. Usalo come deposito.
CODEX_BUILDOAKCABINET_NAME,Credenza di Quercia
CODEX_BUILDPINETORCH_DESC,Una luce autoportante per sentieri e cortili.
CODEX_BUILDPINETORCH_NAME,Torcia di Pino
CODEX_BUILDPINEWOODCHAIR_DESC,Una semplice sedia di legno.
CODEX_BUILDPINEWOODCHAIR_NAME,Sedia di Pino
CODEX_BUILDPINEWOODCHEST_DESC,Deposito affidabile per attrezzatura e materiali. Usalo come deposito.
CODEX_BUILDPINEWOODCHEST_NAME,Cassa di Pino
CODEX_BUILDPINEWOODDOOR_DESC,Tiene chiusa la stanza.
CODEX_BUILDPINEWOODDOOR_NAME,Porta di Pino
CODEX_BUILDPINEWOODDOORFRAME_DESC,Telaio di Pino
CODEX_BUILDPINEWOODDOORFRAME_NAME,Telaio di Pino di Wildwood
CODEX_BUILDPINEWOODFOUNDATION_DESC,Una fondazione di pino per una casa.
CODEX_BUILDPINEWOODFOUNDATION_NAME,Pavimento di Pino di Wildwood
CODEX_BUILDPINEWOODMILL_DESC,Un mulino che produce periodicamente Pino di Wildwood da raccogliere.
CODEX_BUILDPINEWOODMILL_NAME,Mulino di Pino
CODEX_BUILDPINEWOODPILLAR_NAME,Pilastro di Pino di Wildwood
CODEX_BUILDPINEWOODTABLE_DESC,Un tavolo semplice per case e sale.
CODEX_BUILDPINEWOODTABLE_NAME,Tavolo di Pino
CODEX_BUILDPINEWOODTREEGARDEN_DESC,Un giardino verde. Puramente decorativo.
CODEX_BUILDPINEWOODTREEGARDEN_NAME,Giardino di Pini
CODEX_BUILDPINEWOODWALL_DESC,Muri di Pino
CODEX_BUILDPINEWOODWALL_NAME,Muro di Pino di Wildwood
CODEX_BUILDPOKERTABLE_DESC,Un tavolo in panno per una partita amichevole di Hold'em. Interagisci per sederti; altri giocatori possono accomodarsi e sfidarti.
CODEX_BUILDPOKERTABLE_NAME,Tavolo da Poker
CODEX_BUILDSANCTUMPLANKSA_NAME,Tavole di Legno
CODEX_BUILDSANCTUMPLANKSB_NAME,Tavole di Legno
CODEX_BUILDSINGINGBELLFLOWERPLOT_DESC,Un appezzamento seminato a Campanula Canterina. Raccogli quando matura.
CODEX_BUILDSINGINGBELLFLOWERPLOT_NAME,Appezzamento di Campanula Canterina
CODEX_BUILDSLEEPINGBAG_DESC,Un giaciglio per una notte scomoda lontano da casa. Usalo per dormire. \n Conferisce il Bonus Ben Riposato: \n Bonus XP dai mostri: 10% \n Calo del nutrimento ridotto: 5% \n Durata: 10 minuti
CODEX_BUILDSLEEPINGBAG_NAME,Sacco a Pelo
CODEX_BUILDSTARTINGGRASS_DESC,Una zona d'erba. Puramente decorativa.
CODEX_BUILDSTARTINGGRASS_NAME,Zona d'Erba
CODEX_BUILDSTONEDOORWAY_DESC,Un telaio di pietra.
CODEX_BUILDSTONEDOORWAY_NAME,Telaio di Pietra
CODEX_BUILDSTONEFENCE_DESC,Recinzione in pietra di cava.
CODEX_BUILDSTONEFENCE_NAME,Recinto di Pietra
CODEX_BUILDSTONEFENCEGATE_DESC,Un cancello abbastanza largo da farci passare un carro.
CODEX_BUILDSTONEFENCEGATE_NAME,Cancello di Pietra
CODEX_BUILDSTONEFOUNDATION_DESC,Un pavimento di pietra per una casa.
CODEX_BUILDSTONEFOUNDATION_NAME,Pavimento di Pietra
CODEX_BUILDSTONEPATHING_DESC,Un camminamento di pietra.
CODEX_BUILDSTONEPATHING_NAME,Lastricato di Pietra
CODEX_BUILDSTONEQUARRY_DESC,Una cava che produce periodicamente pietra da raccogliere.
CODEX_BUILDSTONEQUARRY_NAME,Cava di Pietra
CODEX_BUILDSTONEWALL_DESC,Muro di Pietra
CODEX_BUILDSTONEWALL_NAME,Muro di Pietra
CODEX_BUILDSUNFLOWERPATCH_DESC,Un'aiuola di girasoli. Puramente decorativa.
CODEX_BUILDSUNFLOWERPATCH_NAME,Aiuola di Girasoli
CODEX_BUILDTALLEARLWOODPOTPLAN_DESC,Piante in vaso del Villaggio di Earlwood
CODEX_BUILDTALLEARLWOODPOTPLAN_NAME,Pianta Alta in Vaso di Earlwood
CODEX_BUILDTENDERBERRYPLOT_DESC,Un appezzamento seminato a Tenderberry. Raccogli quando matura.
