Key,Text
ITEM_ALPHACLAW_DESC,"Un enorme artiglio rinforzato per natura, apprezzato per la robustezza e il valore simbolico."
ITEM_ALPHACLAW_EFFECT,Nessuno
ITEM_ALPHACLAW_NAME,Artiglio Alfa
ITEM_ALPHAFUR_DESC,"Spessa pelliccia di un predatore alfa, folta e capace di trattenere il calore."
ITEM_ALPHAFUR_EFFECT,Nessuno
ITEM_ALPHAFUR_NAME,Pelliccia Alfa
ITEM_APPLE_DESC,"Una mela succosa, ottima come spuntino in viaggio."
ITEM_APPLE_EFFECT,Ripristina il Nutrimento.
ITEM_APPLE_NAME,Mela
ITEM_APPLEJUICE_DESC,Succo di Mela dolce diluito con acqua. Ottimo per ripristinare il Nutrimento in viaggio. Berlo aumenta per un certo tempo la Rigenerazione del vigore.
ITEM_APPLEJUICE_EFFECT,Ripristina il Nutrimento e aumenta la Rigenerazione del vigore del 10% per 30 minuti. Può essere attivo un solo bonus da bevanda alla volta.
ITEM_APPLEJUICE_NAME,Succo di Mela
ITEM_APPLESEED_DESC,Un seme di melo.
ITEM_APPLESEED_EFFECT,Nessuno
ITEM_APPLESEED_NAME,Seme di Melo
ITEM_BEASTMEAT_DESC,"Carne sostanziosa delle bestie di Mirkea, apprezzata per il sapore e il valore nutritivo."
ITEM_BEASTMEAT_EFFECT,Ripristina il Nutrimento ma riduce la Rigenerazione del vigore per 5 minuti.
ITEM_BEASTMEAT_NAME,Carne di Bestia
ITEM_BELLFLOWERSOUP_DESC,Una zuppa aromatica e mistica di Campanula Canterina e Thaumablossom. Il suo aroma etereo calma i sensi e protegge dalle instabili energie dell'Etere.
ITEM_BELLFLOWERSOUP_EFFECT,Ripristina il Nutrimento. Conferisce 10% Salute massima e 25% Resistenza all'etere per 30 minuti.
ITEM_BELLFLOWERSOUP_NAME,Zuppa di Campanula
ITEM_BLIGHTCROW_DESC,"Originari delle paludi, i Corvi del Morbo cercano prede indebolite, aggravandone il male mentre le seguono per giorni."
ITEM_BLIGHTCROW_EFFECT,"Sorveglia i nemici Avvelenati e sputa contro di loro un dardo tossico, applicando accumuli aggiuntivi di Veleno."
ITEM_BLIGHTCROW_NAME,Corvo del Morbo
ITEM_BLOODRAGEPOTION_DESC,"Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve."
ITEM_BLOODRAGEPOTION_EFFECT,Bevi per applicare 5 accumuli di Furia.\n Le cariche si ricaricano riposando.
ITEM_BLOODRAGEPOTION_NAME,Pozione della Furia Sanguinaria
ITEM_BLOODRAGEPOTION1_DESC,"Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve."
ITEM_BLOODRAGEPOTION1_EFFECT,Bevi per applicare 5 accumuli di Furia.\n Le cariche si ricaricano riposando.
ITEM_BLOODRAGEPOTION1_NAME,Pozione della Furia Sanguinaria +1
ITEM_BLOODRAGEPOTION2_DESC,"Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve."
ITEM_BLOODRAGEPOTION2_EFFECT,Bevi per applicare 5 accumuli di Furia.\n Le cariche si ricaricano riposando.
