Key,Text
POI_ABANDONEDCAMP_LORE,Campo Abbandonato
POI_ABANDONEDCAMP_NAME,Campo Abbandonato
POI_ABANDONEDHOMESTEAD_LORE,Fattoria Abbandonata
POI_ABANDONEDHOMESTEAD_NAME,Fattoria Abbandonata
POI_ABANDONEDHOMESTEAD_POPUP,Fattoria Abbandonata
POI_BEASTOCCUPIEDRUINS_LORE,Rovine Occupate dalle Bestie
POI_BEASTOCCUPIEDRUINS_NAME,Rovine Occupate dalle Bestie
POI_BEASTOCCUPIEDRUINS_POPUP,Rovine Occupate dalle Bestie
POI_BEASTOCCUPIEDRUINSWAYPOINT_LORE,Punto di passaggio delle Rovine Occupate
POI_BEASTOCCUPIEDRUINSWAYPOINT_NAME,Punto di passaggio delle Rovine Occupate
POI_BEFRSSHOP_LORE,Negozio di Befr
POI_BEFRSSHOP_NAME,Negozio di Befr
POI_CAMPFIRE_NAME,Falò
POI_CORINSCAMP_LORE,Campo di Corin
POI_CORINSCAMP_NAME,Campo di Corin
POI_CORINSCAMPFIRE_LORE,Campo di Corin
POI_CORINSCAMPFIRE_NAME,Falò di Corin
POI_CORRUPTEDGROVE_LORE,Boschetto Corrotto
POI_CORRUPTEDGROVE_NAME,Boschetto Corrotto
POI_CORRUPTEDRIVERSIDECAMP_LORE,Campo Corrotto sul Fiume
POI_CORRUPTEDRIVERSIDECAMP_NAME,Campo Corrotto sul Fiume
POI_CORRUPTEDTHICKET_LORE,Boscaglia corrotta
POI_CORRUPTEDTHICKET_NAME,Boscaglia corrotta
POI_CORRUPTEDTHICKETENTRANCE_LORE,Ingresso della Boscaglia Corrotta
POI_CORRUPTEDTHICKETENTRANCE_NAME,Ingresso della Boscaglia Corrotta
POI_DARKCAVERNS_LORE,Caverne Oscure
POI_DARKCAVERNS_NAME,Caverne Oscure
POI_DWARVENROAD_LORE,La strada verso le montagne dei nani
POI_DWARVENROAD_NAME,Strada Nanica
POI_EARLWOODCROSSROADS_LORE,Crocevia di Earlwood
POI_EARLWOODCROSSROADS_NAME,Crocevia di Earlwood
POI_EARLWOODCROSSROADS_POPUP,Crocevia di Earlwood
POI_EARLWOODENTRANCE_LORE,Le grandi porte di Earlwood
POI_EARLWOODENTRANCE_NAME,Ingresso di Earlwood
POI_EARLWOODENTRANCE_POPUP,Ingresso Est di Earlwood
POI_EARLWOODFARMLANDSROADSIDECAMP_LORE,Campo sulla Strada delle Terre Coltivate
POI_EARLWOODFARMLANDSROADSIDECAMP_NAME,Campo sulla Strada delle Terre Coltivate di Earlwood
POI_EARLWOODFORGE_LORE,Fucina di Earlwood
POI_EARLWOODFORGE_NAME,Fucina di Earlwood
POI_EARLWOODROADWAYGATE_LORE,Varco della Strada di Earlwood
POI_EARLWOODROADWAYGATE_NAME,Varco della Strada di Earlwood
POI_EARLWOODROADWAYGATE_POPUP,Varco della Strada di Earlwood
POI_EARLWOODSOUTHWAYGATE_LORE,Varco Sud di Earlwood
POI_EARLWOODSOUTHWAYGATE_NAME,Varco Sud di Earlwood
POI_EARLWOODVILLAGEWAYGATE_LORE,Varco Villaggio di Earlwood
POI_EARLWOODVILLAGEWAYGATE_NAME,Varco Villaggio di Earlwood
POI_EASTERNFORESTGROVE_LORE,Boschetto della Foresta Orientale
POI_EASTERNFORESTGROVE_NAME,Boschetto della Foresta Orientale
POI_FARMLANDSNORTH_LORE,Terre Coltivate Nord
POI_FARMLANDSNORTH_NAME,Terre Coltivate Nord
POI_FARMLANDSNORTH_POPUP,Punto di passaggio delle Terre Coltivate Nord
POI_FARMLANDSOLDCAMP_LORE,Vecchio Campo delle Terre Coltivate
POI_FARMLANDSOLDCAMP_NAME,Vecchio Campo delle Terre Coltivate
POI_FARMLANDSSOUTH_LORE,Terre Coltivate Sud
POI_FARMLANDSSOUTH_NAME,Terre Coltivate Sud
POI_FARMLANDSSOUTH_POPUP,Punto di passaggio delle Terre Coltivate Sud
POI_FORESTDEPTHSWAYPOINT_LORE,Punto di passaggio delle Profondità della Foresta
POI_FORESTDEPTHSWAYPOINT_NAME,Punto di passaggio delle Profondità della Foresta
POI_FORESTPATHOVERLOOK_LORE,Belvedere del Sentiero della Foresta
POI_FORESTPATHOVERLOOK_NAME,Belvedere del Sentiero della Foresta
POI_FORESTPATHSTART_LORE,Inizio del Sentiero della Foresta
POI_FORESTPATHSTART_NAME,Inizio del Sentiero della Foresta
POI_FORESTSEDGEHOMESTEAD_LORE,Fattoria ai Margini della Foresta
POI_FORESTSEDGEHOMESTEAD_NAME,Fattoria ai Margini della Foresta
POI_FORESTSEDGEHOMESTEAD_POPUP,Fattoria ai Margini della Foresta
POI_GOBLINCAVEENTRANCE_LORE,Ingresso della Caverna dei Goblin
POI_GOBLINCAVEENTRANCE_NAME,Ingresso della Caverna dei Goblin
POI_GOBLINCAVEMOUTH_LORE,Imbocco della Caverna dei Goblin
POI_GOBLINCAVEMOUTH_NAME,Imbocco della Caverna dei Goblin
POI_GOLEMSGARDEN_LORE,Giardino dei Golem
POI_GOLEMSGARDEN_NAME,Giardino dei Golem
POI_GOLEMSGARDEN_POPUP,Giardino dei Golem
POI_HAYLORSMILL_LORE,Mulino di Haylor
POI_HAYLORSMILL_NAME,Mulino di Haylor
POI_HAYLORSMILL_POPUP,Mulino di Haylor
POI_HEIMENSCAMP_LORE,Campo sul Fiume di Heimen\n
POI_HEIMENSCAMP_NAME,Campo di Heimen
POI_HIDDENGROVE_LORE,Boschetto Nascosto
POI_HIDDENGROVE_NAME,Boschetto Nascosto
POI_HIDDENGROVE_POPUP,Boschetto Nascosto
POI_LOSTARCHEOLOGISTCAMPFIRE_LORE,Campo dell'Archeologo Perduto
POI_LOSTARCHEOLOGISTCAMPFIRE_NAME,Falò dell'Archeologo Perduto
POI_LOSTGUARDIAN_LORE,Guardiano Perduto
POI_LOSTGUARDIAN_NAME,Guardiano Perduto
POI_MOONRIDGEVALE_LORE,Valle di Moonridge
POI_MOONRIDGEVALE_NAME,Valle di Moonridge
POI_MOONRIDGEVALE_POPUP,Valle di Moonridge
POI_NEARBYFARMSTEAD_LORE,Fattoria Vicina
POI_NEARBYFARMSTEAD_NAME,Fattoria Vicina
POI_NORTHCUTCAMPCAMPFIRE_LORE,Campo di Northcut
POI_NORTHCUTCAMPCAMPFIRE_NAME,Falò del Campo di Northcut
POI_NORTHERNLOSTRUIN_LORE,Rovina Perduta Settentrionale
POI_NORTHERNLOSTRUIN_NAME,Rovina Perduta Settentrionale
POI_NORTHERNLOSTRUIN_POPUP,Rovina Perduta Settentrionale
POI_NORTHERNOUTPOST_LORE,Avamposto Settentrionale
POI_NORTHERNOUTPOST_NAME,Avamposto Settentrionale
POI_NORTHRUINSCAMP_LORE,Campo delle Rovine Nord
POI_NORTHRUINSCAMP_NAME,Campo delle Rovine Nord
POI_OLDONESRUINS_LORE,Rovine degli Antichi
POI_OLDONESRUINS_NAME,Rovine degli Antichi
POI_OLDONESRUINS_POPUP,Rovine degli Antichi
POI_OVERRUNSHRINE_LORE,Sacrario Invaso
POI_OVERRUNSHRINE_NAME,Sacrario Invaso
POI_OVERRUNSHRINE_POPUP,Sacrario Invaso
POI_OVERRUNSHRINEWAYPOINT_LORE,Punto di passaggio del Sacrario Invaso
POI_OVERRUNSHRINEWAYPOINT_NAME,Punto di passaggio del Sacrario Invaso
POI_POOLOFREMEMBRANCE_LORE,Pozza del Ricordo
POI_POOLOFREMEMBRANCE_NAME,Pozza del Ricordo
POI_POOLOFREMEMBRANCE_POPUP,Pozza del Ricordo
POI_RIVERCALLERSGROVE_LORE,Boschetto di Rivercaller
POI_RIVERCALLERSGROVE_NAME,Boschetto di Rivercaller
