Key,Text
ARCHETYPE_AERIE_DEFENDER,Difensore del Nido
ARCHETYPE_ANCESTRAL_MYSTIC,Mistico Ancestrale
ARCHETYPE_BEASTLAND_MYSTIC,Mistico delle Terre Ferine
ARCHETYPE_BLOSSOM_SOULCALLER,Evocatore di Anime dei Fiori
ARCHETYPE_BOGLAND_HEALER,Guaritore delle Torbiere
ARCHETYPE_BRIDGE_KEEPER,Custode del Ponte
ARCHETYPE_CLOUDSHADOW_ASSASSIN,Assassino dell'Ombra delle Nubi
ARCHETYPE_COLOSSAL_BRAWLER,Rissoso Colossale
ARCHETYPE_DEEPVEIN_STALKER,Predatore delle Vene Profonde
ARCHETYPE_DEFENDER_OF_THE_REALM,Difensore del Regno
ARCHETYPE_DEWDROP_SPY,Spia della Rugiada
ARCHETYPE_EARTHSHAKER,Scuotiterra
ARCHETYPE_ECHO_WEAVER,Tessitore d'Eco
ARCHETYPE_ELEMENTAL_BINDER,Vincolatore Elementale
ARCHETYPE_ELEMENTAL_RANGER,Ranger Elementale
ARCHETYPE_ETERNAL_SCULPTOR,Scultore Eterno
ARCHETYPE_FOREST_WHISPERER,Sussurratore della Foresta
ARCHETYPE_FORGEWRIGHT,Artefice della Fucina
ARCHETYPE_GLOOM_STALKER,Cacciatore dell'Ombra
ARCHETYPE_GRANITE_SENTINEL,Sentinella di Granito
ARCHETYPE_GRASSLAND_AMBUSHER,Assalitore delle Praterie
ARCHETYPE_HAMMERFALL_BERSERKER,Berserker del Martello Tonante
ARCHETYPE_HOOFED_FURY,Furia degli Zoccoli
ARCHETYPE_HORNED_VANGUARD,Avanguardia Cornuta
ARCHETYPE_IRONHOLD_WARDEN,Custode di Roccaferrea
ARCHETYPE_LABYRINTH_GUARDIAN,Guardiano del Labirinto
ARCHETYPE_MARSH_BERSERKER,Berserker delle Paludi
ARCHETYPE_MASTER_ARCHITECT,Mastro Architetto
ARCHETYPE_MIRE_ENGINEER,Ingegnere del Pantano
ARCHETYPE_MONUMENTAL_MASON,Muratore Monumentale
ARCHETYPE_NATURE'S_ARTISAN,Artigiano della Natura
ARCHETYPE_NECTARBLADE_FIGHTER,Guerriero della Lama di Nettare
ARCHETYPE_NESTMASTER_ENGINEER,Ingegnere Maestro dei Nidi
ARCHETYPE_NIGHT'S_WHISPER,Sussurro della Notte
ARCHETYPE_PEBBLE_SNEAK,Furtivo dei Ciottoli
ARCHETYPE_PETAL_CONSTRUCTOR,Costruttore dei Petali
ARCHETYPE_PHASE_DUELLIST,Duellante di Fase
ARCHETYPE_PIXIE_SPELLWEAVER,Tessincantesimi Folletto
ARCHETYPE_PLAINSWALKER_MAGE,Mago Viandante delle Pianure
ARCHETYPE_PRAIRIE_SEER,Veggente della Prateria
ARCHETYPE_RUNEFORGE_MAGE,Mago della Fucina Runica
ARCHETYPE_SAVANNA_CRAFTSMAN,Artigiano della Savana
ARCHETYPE_SKY_SORCERER,Stregone del Cielo
ARCHETYPE_SPIRIT_GUARDIAN,Guardiano degli Spiriti
ARCHETYPE_STEPPE_VANGUARD,Avanguardia della Steppa
ARCHETYPE_STONE_SPIRITIST,Spiritista della Pietra
ARCHETYPE_SWAMP_WARLOCK,Stregone della Palude
ARCHETYPE_SYLVAN_PROTECTOR,Protettore Silvano
ARCHETYPE_TALON_KNIGHT,Cavaliere dell'Artiglio
ARCHETYPE_THISTLESHIELD_WARDEN,Custode dello Scudo di Cardi
ARCHETYPE_UNDERBRIDGE_ROGUE,Furfante del Sottoponte
ARCHETYPE_WILDSTRIDER,Passosilvestre
ARCHETYPE_WINDSPIRIT_SHAMAN,Sciamano dello Spirito del Vento
ARCHETYPE_XWIN_DREADHORN,Cornispavento di Xwin
PASSIVE_ACCELERATEDCASTING_DESC,"Dopo aver usato un'abilità da Elfo, ottieni +15% Velocità di movimento per 3 secondi e +15% Velocità d'attacco per 3 secondi"
PASSIVE_ACCELERATEDCASTING_NAME,Lancio Accelerato
PASSIVE_AMBUSH_DESC,"Danno perforante +20%; dopo uno Scatto rapido, il tuo prossimo attacco a segno entro 3 secondi infligge +25% Danno fisico."
PASSIVE_AMBUSH_NAME,Imboscata
