Key,Text
SKILL_BRAWLER_E1_DESC,Aumenta il tuo Danno contundente di 6%
SKILL_BRAWLER_E1_NAME,Aumento di Danno contundente
SKILL_BRAWLER_E10_DESC,Aumenta l'Accumulo di stordimento del 10% \n Aumenta la tua Probabilità di critico del 4%.
SKILL_BRAWLER_E10_NAME,Precisione
SKILL_BRAWLER_E16_DESC,Aumenta il tuo danno contro i nemici storditi dell'8%. \n Aumenta di 2 la Furia massima che puoi accumulare.
SKILL_BRAWLER_E16_NAME,Fervore combattivo
SKILL_BRAWLER_E4_DESC,Aumenta il tuo Vigore massimo di 6. \n Aumenta il tuo Danno contundente del 6%
SKILL_BRAWLER_E4_NAME,Possanza del Rissoso
SKILL_BRAWLER_EBL11_DESC,Aumenta di 4% il tuo danno contro i nemici storditi.
SKILL_BRAWLER_EBL11_NAME,Danno vs. stordito
SKILL_BRAWLER_EBL12_DESC,Aumenta di 4% il tuo danno contro i nemici storditi.
SKILL_BRAWLER_EBL12_NAME,Danno vs. stordito
SKILL_BRAWLER_EBL14_DESC,Aumenta di 4% il tuo danno contro i nemici storditi.
SKILL_BRAWLER_EBL14_NAME,Danno vs. stordito
SKILL_BRAWLER_EBL15_DESC,Aumenta di 4% il tuo danno contro i nemici storditi.
SKILL_BRAWLER_EBL15_NAME,Danno vs. stordito
SKILL_BRAWLER_EBL17_DESC,Aumenta il tuo Danno critico di 6%
SKILL_BRAWLER_EBL17_NAME,Aumento di Danno critico
SKILL_BRAWLER_EBL18_DESC,Aumenta il tuo Danno critico di 18%
SKILL_BRAWLER_EBL18_NAME,Aumento di Danno critico
SKILL_BRAWLER_EBL2_DESC,Aumenta il tuo Danno contundente di 3%
SKILL_BRAWLER_EBL2_NAME,Aumento di Danno contundente
SKILL_BRAWLER_EBL2R1_DESC,Aumenta il tuo Danno contundente di 3%
SKILL_BRAWLER_EBL2R1_NAME,Aumento di Danno contundente
SKILL_BRAWLER_EBL2R2_DESC,Aumenta il tuo Danno contundente di 9%
SKILL_BRAWLER_EBL2R2_NAME,Aumento di Danno contundente
SKILL_BRAWLER_EBL2R3_DESC,Aumenta di 3% tutto il Danno fisico
SKILL_BRAWLER_EBL2R3_NAME,Aumento di Danno fisico
SKILL_BRAWLER_EBL2R4_DESC,"Quando uccidi un nemico con Danno contundente, ottieni il 20% di Danno fisico per 5 secondi."
SKILL_BRAWLER_EBL2R4_NAME,Esecuzione Contundente
SKILL_BRAWLER_EBL3_DESC,Aumenta il tuo Danno contundente di 3%
SKILL_BRAWLER_EBL3_NAME,Aumento di Danno contundente
SKILL_BRAWLER_EBL5_DESC,Aumenta l'Accumulo di stordimento di 5%
SKILL_BRAWLER_EBL5_NAME,Aumento di l'Accumulo di stordimento
SKILL_BRAWLER_EBL5R1_DESC,Aumenta l'Accumulo di stordimento di 5%
SKILL_BRAWLER_EBL5R1_NAME,Aumento di l'Accumulo di stordimento
SKILL_BRAWLER_EBL5R2_DESC,Aumenta l'Accumulo di stordimento di 15%
SKILL_BRAWLER_EBL5R2_NAME,Aumento di l'Accumulo di stordimento
SKILL_BRAWLER_EBL5R3_DESC,Aumenta la tua Velocità d'attacco di 3%
SKILL_BRAWLER_EBL5R3_NAME,Aumento di Velocità d'attacco
SKILL_BRAWLER_EBL5R4_DESC,Aumenta la tua Velocità d'attacco di 3%
SKILL_BRAWLER_EBL5R4_NAME,Aumento di Velocità d'attacco
SKILL_BRAWLER_EBL5R5_DESC,Aumenta la tua Velocità d'attacco di 9%
SKILL_BRAWLER_EBL5R5_NAME,Aumento di Velocità d'attacco
SKILL_BRAWLER_EBL5R6_DESC,Aumenta la tua Velocità d'attacco di 3%
SKILL_BRAWLER_EBL5R6_NAME,Aumento di Velocità d'attacco
SKILL_BRAWLER_EBL5R7_DESC,"Quando stordisci un nemico, ottieni il 25% di Velocità d'attacco per 3 secondi."
SKILL_BRAWLER_EBL5R7_NAME,Tempo Stordente
SKILL_BRAWLER_EBL7_DESC,Aumenta l'Accumulo di stordimento di 5%
SKILL_BRAWLER_EBL7_NAME,Aumento di l'Accumulo di stordimento
SKILL_BRAWLER_EBL9_DESC,Aumenta l'Accumulo di stordimento di 5%
SKILL_BRAWLER_EBL9_NAME,Aumento di l'Accumulo di stordimento
SKILL_BRAWLER_EBR11_DESC,Aumenta di 1 il valore massimo di Furia che puoi mantenere.
SKILL_BRAWLER_EBR11_NAME,Aumento di Furia max
SKILL_BRAWLER_EBR12_DESC,Aumenta di 1 il valore massimo di Furia che puoi mantenere.
SKILL_BRAWLER_EBR12_NAME,Aumento di Furia max
SKILL_BRAWLER_EBR14_DESC,Aumenta di 1 il valore massimo di Furia che puoi mantenere.
SKILL_BRAWLER_EBR14_NAME,Aumento di Furia max
SKILL_BRAWLER_EBR15_DESC,Aumenta di 1 il valore massimo di Furia che puoi mantenere.
SKILL_BRAWLER_EBR15_NAME,Aumento di Furia max
SKILL_BRAWLER_EBR17_DESC,Aumenta di 1 secondo la durata della tua Furia.
SKILL_BRAWLER_EBR17_NAME,Aumento di Durata Furia
SKILL_BRAWLER_EBR18_DESC,Aumenta di 2 secondi la durata della tua Furia.
SKILL_BRAWLER_EBR18_NAME,Aumento di Durata Furia
SKILL_BRAWLER_EBR2_DESC,Aumenta di 3 il valore massimo di Vigore.
