Key,Text
SPELL_ADRENALINE_DESC,Premi per lanciare. Consuma il 20% dei tuoi HP massimi per ripristinare il 60% del tuo Vigore massimo.
SPELL_ADRENALINE_NAME,Adrenalina
SPELL_AETHERFANGPHALANX_DESC,"Premi per lanciare. Evoca una falange di lame Zanna d'Etere che ti circondano e colpiscono automaticamente i nemici vicini, infliggendo Danno da etere."
SPELL_AETHERFANGPHALANX_EFFECT_0,Danno da etere: (MA:6.75)
SPELL_AETHERFANGPHALANX_NAME,Falange Zanna d'Etere
SPELL_AETHERHOWL_DESC,Ulula e lancia proiettili d'etere verso il bersaglio.
SPELL_AETHERHOWL_NAME,Ululato d'Etere
SPELL_AIMEDSHOT_DESC,"Premi per lanciare. Prendi la mira, poi scocca una freccia che attraversa i nemici, infliggendo Danno perforante."
SPELL_AIMEDSHOT_EFFECT_0,Danno perforante: (PT:4.02)
SPELL_AIMEDSHOT_MOD_0,"Tiro a punta larga: Tiro mirato non attraversa più i nemici. Invece, li respinge fino alla portata massima."
SPELL_AIMEDSHOT_MOD_1,Tiro a sorpresa: Tiro mirato infligge il 60% di danno bonus ai nemici fuori dal combattimento.
SPELL_AIMEDSHOT_MOD_2,"Tiro lungo: Tiro mirato infligge il 50% di danno extra ai nemici oltre metà della portata, ma il 40% in meno ai nemici entro metà della portata."
SPELL_AIMEDSHOT_MOD_3,Freccia Corrompente: Tiro mirato consuma fino a 10 cariche di Sanguinamento sui nemici colpiti e applica 1 carica di Veleno per carica di Sanguinamento consumata.
SPELL_AIMEDSHOT_MOD_4,"Freccia Purgante: Tiro mirato consuma il Veleno sui nemici colpiti per infliggere il 5% di danno in più per carica di Veleno consumata, fino a 10 cariche di Veleno."
SPELL_AIMEDSHOT_MOD_5,"Freccia Inoculante: Tiro mirato conferisce 2 cariche di Inoculazione per ogni nemico avvelenato colpito. Se Tiro mirato colpisce almeno 2 nemici avvelenati, ottieni altre 2 cariche di Inoculazione."
SPELL_AIMEDSHOT_MOD_6,"Freccia Avvelenante: Tiro mirato applica 4 cariche di Veleno ai nemici colpiti. Se Tiro mirato colpisce più di un nemico, quelli dopo il primo ricevono invece 2 cariche di Veleno."
SPELL_AIMEDSHOT_MOD_7,Freccia Lacerante: Tiro mirato applica 3 cariche di Sanguinamento ai nemici colpiti.
SPELL_AIMEDSHOT_NAME,Tiro mirato
SPELL_ALPHABITE_DESC,Balza in avanti e mordi i nemici a portata.
SPELL_ALPHABITE_NAME,Morso Alfa
SPELL_ALPHACLAW_DESC,Sferra colpi ai nemici davanti a te
SPELL_ALPHACLAW_NAME,Artiglio Alfa
SPELL_ALPHAHOWL_DESC,Arretra e scatena una raffica di proiettili di Gelo contro i nemici vicini.
SPELL_ALPHAHOWL_NAME,Ululato Alfa
SPELL_ALPHAHOWLPLAYER_DESC,"Premi per lanciare. Richiama una scarica di proiettili che si disperdono casualmente sul campo di battaglia, ciascuno dei quali infligge danno suddiviso in Danno da ghiaccio e Danno da etere nel punto in cui atterra."
SPELL_ALPHAHOWLPLAYER_EFFECT_0,Danno da ghiaccio: (MI:1.66)
SPELL_ALPHAHOWLPLAYER_EFFECT_1,Danno da etere: (MA:1.66)
SPELL_ALPHAHOWLPLAYER_NAME,Ululato Alfa
SPELL_ALPHAPOUNCE_DESC,"Balza su un bersaglio, lasciando una zona di Gelo e infliggendo un impatto gelido all'atterraggio."
SPELL_ALPHAPOUNCE_NAME,Balzo Alfa
SPELL_ALPHAREPOSITION_DESC,Spostati lateralmente per cambiare angolazione e lancia dardi di Gelo contro i nemici.
SPELL_ALPHAREPOSITION_NAME,Riposizionamento Alfa
SPELL_ALTHAEASFLOURISH_DESC,"Marchia fino a tre giocatori vicini e fa piovere una sequenza di aree di Nebbia velenosa sotto ciascuno, infliggendo Danno da decadimento e applicando Veleno ogni secondo."
SPELL_ALTHAEASFLOURISH_NAME,Fioritura di Althaea
SPELL_ALTHAEASSPIKES_DESC,"Evoca un ventaglio di spine d'etere davanti all'incantatore, poi lancia ciascuna verso un giocatore vicino scelto a caso."
SPELL_ALTHAEASSPIKES_NAME,Punte di Althaea
SPELL_ALTHAEASSWAP_DESC,Si teletrasporta a un nodo santificato vicino o in una posizione sicura casuale a portata.
SPELL_ALTHAEASSWAP_NAME,Scambio di Althaea
SPELL_ALTHAEASTIDALWAVE_DESC,"Scatena un'ampia ondata di marea che rimuove gli effetti negativi degli alleati, converte in acqua tutte le pozze vicine e inonda l'area con nuove Pozze d'Acqua."
SPELL_ALTHAEASTIDALWAVE_NAME,Onda di Marea di Althaea
SPELL_ARROWOFTHEDEEPCOLD_DESC,Colpire un nemico assiderato con il tuo terzo attacco a distanza scocca da dietro di lui una freccia di ghiaccio gigante che trafigge tutti i nemici sul suo percorso e infligge Danno da ghiaccio.
SPELL_ARROWOFTHEDEEPCOLD_EFFECT_0,Danno da ghiaccio: (MI:0.71)
SPELL_ARROWOFTHEDEEPCOLD_NAME,Freccia del Freddo Profondo
SPELL_ASTRALPURR_DESC,Resta vicino al giocatore ed emette un impulso costante che ripristina Concentrazione nell'arco di 2 secondi.
SPELL_ASTRALPURR_NAME,Fusa Astrali
SPELL_ATTACKSWAP_DESC,Passa alla mischia o alla distanza
SPELL_ATTACKSWAP_NAME,Cambio d'attacco
SPELL_AUTOATTACK_NAME,Attacco automatico
SPELL_BACKSTEPSTRIKE_DESC,"Premi per lanciare. Colpisci i nemici davanti a te, infliggendo Danno perforante, poi scatta indietro. Colpire un nemico conferisce Ondata temporale."
SPELL_BACKSTEPSTRIKE_EFFECT_0,Danno perforante: (PT:1.83)
SPELL_BACKSTEPSTRIKE_MOD_0,"Passo indietro storpiante: I nemici colpiti vengono rallentati del 15% per 2 secondi, ma Colpo in arretramento infligge il 20% di danno in meno."
SPELL_BACKSTEPSTRIKE_MOD_1,"Passo indietro esecutore: Infliggi il 30% di danno extra ai nemici sotto il 40% di HP, ma il 50% di danno in meno sopra tale soglia."
SPELL_BACKSTEPSTRIKE_MOD_2,"Passo indietro ripetuto: al termine dello scatto, colpisci di nuovo in un'area più ampia. Se entrambi gli attacchi vanno a segno, riduci il tempo di recupero di Colpo in arretramento del 50%."
SPELL_BACKSTEPSTRIKE_MOD_3,"Passo indietro inseguitore: Se Colpo in arretramento colpisce almeno 1 nemico, puoi rilanciarlo entro 2 secondi per scattare in avanti e colpire di nuovo con il 50% del danno. Il secondo colpo non può conferire Ondata temporale."
SPELL_BACKSTEPSTRIKE_MOD_4,"Passo indietro Riecheggiato: Consuma fino a 5 cariche di Eco temporale sui nemici colpiti per infliggere il 5% di Danno da stordimento extra per Eco consumata, ma Colpo in arretramento non conferisce più Ondata temporale."
SPELL_BACKSTEPSTRIKE_MOD_5,Passo indietro Echeggiante: Applica 3 cariche di Eco temporale a tutti i nemici colpiti.
SPELL_BACKSTEPSTRIKE_MOD_6,Passo indietro Lacerante: Applica 3 cariche di Sanguinamento a tutti i nemici colpiti.
SPELL_BACKSTEPSTRIKE_MOD_7,"Passo indietro Montante: Non ottieni più Ondata temporale quando colpisci un nemico. Invece, se hai Ondata temporale, consumala per infliggere istanze aggiuntive di danno. Ottieni 1 istanza extra per carica di Ondata temporale consumata, fino a 5."
SPELL_BACKSTEPSTRIKE_NAME,Colpo in arretramento
SPELL_BARRIER_DESC,Premi per lanciare. Conferisci a un alleato uno scudo protettivo che assorbe danno e decade nell'arco di 3.5 secondi.
SPELL_BARRIER_EFFECT_0,Scudo: (MH:5.44)
SPELL_BARRIER_NAME,Barriera
SPELL_BASH_DESC,"Premi per lanciare. Colpisci davanti a te, infliggendo Danno contundente con Accumulo di stordimento aumentato."
SPELL_BASH_EFFECT_0,Danno contundente: (PB:1.72)
SPELL_BASH_NAME,Percossa
SPELL_BITE_DESC,Balza e mordi il nemico.
SPELL_BITE_NAME,Morso
SPELL_BLACKHOLE_DESC,"Premi per lanciare. Apri un Buco Nero nella posizione bersaglio, trascinando tutti i nemici vicini al suo centro."
SPELL_BLACKHOLE_NAME,Buco Nero
SPELL_BLADEDANCE_DESC,"Premi per lanciare. Scatena una raffica di 5 colpi, ciascuno dei quali infligge Danno da taglio e applica Sanguinamento."
SPELL_BLADEDANCE_EFFECT_0,Danno da taglio: (PS:1.35)
SPELL_BLADEDANCE_EFFECT_1,Sanguinamento: 2
SPELL_BLADEDANCE_MOD_0,"Danza rimbalzante: Dopo ogni colpo, Danza delle lame cerca un nuovo bersaglio vicino per il colpo successivo, se disponibile. Se non ci sono altri nemici a portata, continua a colpire il bersaglio originale."
SPELL_BLADEDANCE_MOD_1,Danza dilaniante: Danza delle lame riduce l'Armatura del bersaglio del 10% per colpo per 5 secondi.
SPELL_BLADEDANCE_MOD_2,"Danza spazzante: Ogni colpo di Danza delle lame infligge anche Danno da taglio in una piccola area attorno al bersaglio colpito, pari al 40% del danno, ma il colpo principale infligge il 20% di danno in meno."
SPELL_BLADEDANCE_MOD_3,Danza delle stoccate: Danza delle lame infligge Danno perforante.
SPELL_BLADEDANCE_MOD_4,"Danza Mietente: Ogni colpo di Danza delle lame consuma cariche di Sanguinamento sul bersaglio per infliggere l'8% di danno in più per carica, fino al 40% per colpo. Danza delle lame non applica più Sanguinamento."
SPELL_BLADEDANCE_MOD_5,Danza Coagulante: Ogni colpo di Danza delle lame consuma 1 carica di Veleno sul bersaglio per applicare 2 cariche aggiuntive di Sanguinamento.
SPELL_BLADEDANCE_MOD_6,Danza Avvelenante: Ogni colpo di Danza delle lame applica anche 1 carica di Veleno al bersaglio.
SPELL_BLADEDANCE_MOD_7,Danza Inoculante: Ogni colpo di Danza delle lame conferisce 1 carica di Inoculazione se colpisce un bersaglio avvelenato.
SPELL_BLADEDANCE_NAME,Danza delle lame
SPELL_BLAZEBORNEDAGGERS_DESC,"Colpire un nemico con il tuo Attacco finale scatena una scarica di fuoco attorno a lui, infliggendo Danno da fuoco a tutti i nemici vicini e consumando fino a 10 cariche di Ondata temporale; il danno aumenta per ogni carica consumata."
SPELL_BLAZEBORNEDAGGERS_EFFECT_0,Danno da fuoco: (MF:0.38)
SPELL_BLAZEBORNEDAGGERS_NAME,Pugnali Nati dalla Fiamma
SPELL_BLAZINGWRATH_DESC,"Dopo aver consumato Furia, ottieni un'Aura di Fuoco per 5 secondi, che infligge Danno da fuoco e applica Ustione ai nemici vicini ogni secondo. La durata aumenta di 0.5 secondi per ogni Furia consumata."
SPELL_BLAZINGWRATH_EFFECT_0,Danno da fuoco: (MF:0.64)
SPELL_BLAZINGWRATH_NAME,Ira Ardente
SPELL_BLIGHTEDTRAIL_NAME,Scia Infetta
SPELL_BLIZZARD_DESC,"Premi per lanciare. Crea una tormenta in una posizione bersaglio. Infligge Danno da ghiaccio, applica Gelo ogni secondo e lascia una Pozza di ghiaccio."
SPELL_BLIZZARD_EFFECT_0,Danno da ghiaccio: (MI:1.85)
SPELL_BLIZZARD_EFFECT_1,Gelo: 4
SPELL_BLIZZARD_MOD_0,Tormenta inseguitrice: Tormenta cerca e segue il nemico più vicino. Il raggio e il danno di Tormenta sono ridotti del 20%
SPELL_BLIZZARD_MOD_1,Tormenta costante: Il raggio di Tormenta aumenta del 15%
SPELL_BLIZZARD_MOD_2,Tormenta centrata: Tormenta viene lanciata nella tua posizione e ti segue. Il suo raggio e il suo danno aumentano del 25%.
SPELL_BLIZZARD_MOD_3,Tormenta Frantumante: Tormenta consuma fino a 10 cariche di Gelo per infliggere il 10% di Danno da ghiaccio in più per carica consumata. Tormenta non applica più Gelo e non crea più una Pozza di ghiaccio.
SPELL_BLIZZARD_MOD_4,Tormenta Fratturante: Tormenta consuma fino a 10 delle tue cariche di Vincolo gelido al lancio. La durata di Tormenta aumenta di 0.5 secondi per ogni carica di Vincolo gelido consumata.
SPELL_BLIZZARD_MOD_5,"Tormenta Agghiacciante: Tormenta non infligge danno, ma applica 2 cariche aggiuntive di Gelo al secondo e ha un raggio aumentato del 50%."
SPELL_BLIZZARD_MOD_6,Tormenta del vincolo gelido: Tormenta applica 2 cariche di Vincolo gelido al secondo a tutti gli alleati al suo interno.
SPELL_BLIZZARD_NAME,Tormenta
SPELL_BLOODRAGEPOTION_NAME,Pozione della Furia Sanguinaria
SPELL_BOTTLEOFFIRE_NAME,Bottiglia di Fuoco
SPELL_BOTTLEOFFIREONDEATH_NAME,Bottiglia di Fuoco alla Morte
SPELL_BOULDERTOSS_DESC,"Premi per lanciare. Scaglia un masso gigante nella posizione bersaglio, infliggendo Danno contundente e interrompendo tutti i nemici colpiti."
SPELL_BOULDERTOSS_EFFECT_0,Danno contundente: (PB:4.39)
SPELL_BOULDERTOSS_MOD_0,"Masso Frantumante: Il masso si frantuma all'impatto, spargendo ulteriori frammenti dannosi."
SPELL_BOULDERTOSS_MOD_1,Masso d'olio: Il tuo Lancio di masso lascia una Pozza d'Olio.
SPELL_BOULDERTOSS_MOD_2,"Schianto di masso: Tempo di recupero ridotto a 4 secondi, ma la portata si riduce a quella da mischia e Lancio di masso infligge il 20% di danno in meno."
SPELL_BOULDERTOSS_MOD_3,Masso Infuriante: Lancio di masso conferisce 5 Furia se colpisce almeno 1 nemico.
SPELL_BOULDERTOSS_MOD_4,"Masso Furente: Lancio di masso consuma Furia per aumentare il proprio Accumulo di stordimento del 3% per Furia consumata, fino al 30%."
SPELL_BOULDERTOSS_NAME,Lancio di masso
SPELL_BRAMBLEFAN_DESC,Scatena un ampio ventaglio di spine di rovo che spazzano l'arena davanti al Re della Foresta corrotto.
SPELL_BRAMBLEFAN_NAME,Ventaglio di Spine
SPELL_BRAMBLEFANPLAYER_DESC,"Premi per lanciare. Evoca un ventaglio di rovi verso il bersaglio, infliggendo Danno perforante e applicando Sanguinamento a tutti i nemici trafitti. Ogni Cuore della Foresta vicino genera il proprio Ventaglio di Spine verso il bersaglio."
SPELL_BRAMBLEFANPLAYER_EFFECT_0,Danno perforante: (PT:0.66)
SPELL_BRAMBLEFANPLAYER_EFFECT_1,Sanguinamento: 1
SPELL_BRAMBLEFANPLAYER_NAME,Ventaglio di Spine
SPELL_BRIARHEARTSTOMP_DESC,"Il Treant pesta il terreno, infliggendo danno in un'ampia area."
SPELL_BRIARHEARTSTOMP_NAME,Pestone di Briarheart
SPELL_BURNINGPIT_DESC,Crea una Fossa Ardente
SPELL_BURNINGPIT_NAME,Fossa Ardente
SPELL_BURNSALVE_NAME,Unguento per ustioni
SPELL_CARRIONSWEEP_DESC,"Individua i nemici sanguinanti, poi piomba su di loro, applicando 1 carica aggiuntiva di Sanguinamento al bersaglio e 2 cariche di Sanguinamento a 1 nemico vicino."
SPELL_CARRIONSWEEP_NAME,Spazzata Carogna
SPELL_CASTING_NAME,Lancio
SPELL_CERESAETHERMISSILE_DESC,"Lanciare un incantesimo di Etere evoca un dardo d'etere a ricerca che insegue un nemico vicino, infliggendo Danno da etere all'impatto."
SPELL_CERESAETHERMISSILE_EFFECT_0,Danno da etere: (MA:1.23)
SPELL_CERESAETHERMISSILE_NAME,Dardo d'Etere di Ceres
SPELL_CHILLWINGDESCENT_DESC,"Individua i nemici assiderati, poi piomba su di loro per diffondere 1 carica di Gelo ai nemici vicini."
SPELL_CHILLWINGDESCENT_NAME,Discesa dell'Ala Gelida
SPELL_CHRONOSPIKE_DESC,"Premi per lanciare. Compi un breve passo, poi lancia una spina temporale che cerca il nemico con più cariche di danno nel tempo. Anticipa la sua Ustione, il suo Veleno e il suo Sanguinamento: il danno rimanente viene inflitto tutto insieme e ogni carica anticipata aggiunge Danno da etere bonus."
SPELL_CHRONOSPIKE_EFFECT_0,Danno da etere: (MA:2.4)
SPELL_CHRONOSPIKE_EFFECT_1,Danno da etere bonus per carica: (MA:0.2)
SPELL_CHRONOSPIKE_MOD_0,"Spina storpiante: I nemici colpiti da Spina cronale vengono rallentati del 20% per 2 secondi, ma Spina cronale non dà più priorità ai nemici affetti da danno nel tempo."
SPELL_CHRONOSPIKE_MOD_1,"Spina Scindente: Genera 3 proiettili anziché 1, ciascuno diretto verso un bersaglio diverso e con il 33% del danno iniziale. Il danno bonus resta invariato. I nemici colpiti da più proiettili subiscono molto meno danno dai colpi consecutivi."
SPELL_CHRONOSPIKE_MOD_2,"Spina invertente: Non anticipa più le cariche di danno nel tempo. Invece le raddoppia, aggiungendone fino a un massimo di 5 per tipo di effetto ad accumulo."
SPELL_CHRONOSPIKE_MOD_3,Spina Echeggiante: Le cariche anticipate vengono convertite in Eco temporale anziché infliggere Danno da etere bonus. Il loro danno rimanente viene comunque inflitto tutto insieme.
SPELL_CHRONOSPIKE_MOD_4,Spina Lacerante: Le cariche anticipate vengono convertite in Sanguinamento anziché infliggere Danno da etere bonus. Il loro danno rimanente viene comunque inflitto tutto insieme.
SPELL_CHRONOSPIKE_MOD_5,Spina Montante: Usare Spina cronale conferisce 3 cariche di Ondata temporale.
SPELL_CHRONOSPIKE_NAME,Spina cronale
SPELL_CINDERDETONATION_DESC,"Colpire un nemico ustionato con il tuo terzo attacco scatena un'esplosione infuocata, infliggendo Danno da fuoco."
SPELL_CINDERDETONATION_EFFECT_0,Danno da fuoco: (MF:0.73)
SPELL_CINDERDETONATION_NAME,Detonazione di Brace
SPELL_CIRCLEOFMAGIC_DESC,Premi per lanciare. Crea un Cerchio di Magia per 10 secondi che potenzia del 25% il Danno magico di tutti gli alleati al suo interno.
SPELL_CIRCLEOFMAGIC_NAME,Cerchio di Magia
SPELL_CLAW_DESC,Sferra colpi ai nemici davanti a te
SPELL_CLAW_NAME,Artiglio
SPELL_CLEARWATER_DESC,Premi per lanciare. Converti tutte le pozze elementali in un'ampia area in Pozze d'Acqua.
SPELL_CLEARWATER_NAME,Acqua Limpida
SPELL_CLONEDAGGERTHROW_DESC,"I tuoi Cloni d'ombra lanciano ciascuno un Pugnale d'ombra contro il bersaglio, infliggendo Danno perforante e applicando Sanguinamento con ogni pugnale."
SPELL_CLONEDAGGERTHROW_EFFECT_0,Danno perforante: (PT:0.66)
SPELL_CLONEDAGGERTHROW_NAME,Lancio di Pugnale del Clone
SPELL_CLONESTRIKE_DESC,"I tuoi Cloni d'ombra replicano il tuo attacco, ciascuno colpendo il bersaglio per una parte del tuo danno."
SPELL_CLONESTRIKE_NAME,Colpo Clone
SPELL_CLUBSWINGANDSLAM_NAME,Mazzata e Schianto
SPELL_CLUBSWINGANDSLAMSTUCK_NAME,Mazzata e Schianto Bloccati
SPELL_COMBATMEDIC_DESC,"Premi per lanciare. Raggiungi rapidamente un alleato e rimuovi tutte le sue cariche di Ustione, Gelo, Veleno, Scossa e Sanguinamento."
SPELL_COMBATMEDIC_NAME,Medico da Campo
SPELL_COMMANDATTACK_NAME,Ordine: Attacca
SPELL_COMMANDDEFEND_NAME,Ordine: Difendi
SPELL_CONCENTRATION_COST,Concentrazione
SPELL_CONFLAGRATION_DESC,Premi per lanciare. Diffonde le cariche di Ustione del bersaglio a tutti i nemici vicini. Richiede un bersaglio ustionato.
SPELL_CONFLAGRATION_NAME,Conflagrazione
SPELL_CONSUMABLE_NAME,Consumabile
SPELL_CONTAGION_DESC,Premi per lanciare. Infetta un bersaglio con Veleno e una zona contagiosa che infligge Danno da decadimento e diffonde Veleno ai nemici vicini ogni secondo.
SPELL_CONTAGION_EFFECT_0,Danno da decadimento: (MD:3.7)
SPELL_CONTAGION_MOD_0,Contagio Focalizzato: Riduce il raggio della zona di Contagio del 40%. Il bersaglio infetto subisce il 25% di Danno da decadimento in più da Contagio.
