Key,Text
AREA_EARLWOODFARMLANDS,Terre coltivate di Earlwood
AREA_EARLWOODFARMLANDSPARTI,Terre coltivate di Earlwood
AREA_EARLWOODFARMLANDSPARTII,Terre coltivate di Earlwood
AREA_EARLWOODFORESTEAST,Foresta di Earlwood Est
AREA_EARLWOODVILLAGE,Villaggio di Earlwood
AREA_FAUSTASREST,Earlwood
AREA_GUILDHALL,La Sede della Gilda
AREA_PLAYERBASE,Il Santuario
AREA_QALLAWHOUSE,Casa di Qallaw
AREA_SHAZHNHOUSE,Casa di Shazhn
AREA_SONOKO,Sonoko
AREA_THEFORESTTHRONE,Il Trono della Foresta
AREA_THEGOBLINCAVES,Caverne dei Goblin
AREA_THELOSTCAVERNS,Le Caverne Perdute
AREA_WILDWOODFORESTCORRUPTED,Boscaglia corrotta
AREA_WILDWOODFORESTPARTI,Foresta di Wildwood
AREA_WILDWOODFORESTPARTII,Foresta di Wildwood
AREA_WILDWOODFORESTPARTIIA,Foresta di Wildwood
AREA_WILDWOODFORESTPARTIIB,Foresta di Wildwood
AREA_WILDWOODFORESTPARTIII,Foresta di Wildwood
AREA_WILDWOODFORESTPARTIVA,Foresta di Wildwood
AREA_WILDWOODFORESTPARTIVB,Foresta di Wildwood
AREA_WILDWOODFORESTPARTIVC,Foresta di Wildwood
AREA_WILDWOODFORESTPARTIVD,Foresta di Wildwood
AREA_WILDWOODFORESTPARTIVE,Foresta di Wildwood
AREA_WILDWOODFORESTPARTVA,Foresta di Wildwood
AREA_WILDWOODFORESTPARTVB,Foresta di Wildwood
AREA_WILDWOODFORESTPARTVC,Foresta di Wildwood
AREA_WILDWOODFORESTPARTVD,Foresta di Wildwood
CAMPFIRE_WARNING_ITEM,Questo oggetto si ricarica riposando presso un falò
CHAT_BLOCKED_BY_PLAYER,Quel giocatore ti ha bloccato
CHAT_DEATH_BELLS,Le campane di Dimraeth suonano per {0}
CHAT_MONSTER_KILLED_PLAYER,Un {0} ha ucciso {1}
CHAT_MONSTER_KILLED_PLAYER_SPELL,Un {0} ha ucciso {1} con {2}
CHAT_NEW_DAY,Un nuovo giorno si risveglia...
CHAT_PLAYER_BEGAN_REST,{0} ha iniziato a riposare
CHAT_PLAYER_BEGAN_SLEEP,{0} ha iniziato a dormire
CHAT_PLAYER_DISCONNECTED,{0} si è disconnesso
CHAT_PLAYER_JOINED,{0} è entrato nel server
CHAT_PLAYER_KILLED_PLAYER,{0} ha ucciso {1}
CHAT_PLAYER_KILLED_PLAYER_SPELL,{0} ha ucciso {1} con {2}
CHAT_SERVER,[Server]
CRAFTING_LEVEL_REQUIRED,Richiede livello di artigianato {0}
FACILITY_ADVENTURERSA1CORINSFOLLOWERS_LEVEL1_DESC,Aiuta gli avventurieri.
FACILITY_ADVENTURERSA1CORINSFOLLOWERS_NAME,Seguaci di Corin
FACILITY_ADVENTURERSB1CORINSFOLLOWERS_DESC,"Avventurieri dall'evento casuale ""Seguaci di Corin 1"" versione B."
FACILITY_ADVENTURERSB1CORINSFOLLOWERS_LEVEL1_DESC,Aiuta gli avventurieri.
FACILITY_ADVENTURERSB1CORINSFOLLOWERS_NAME,Avventurieri B1 - Seguaci di Corin
FACILITY_BASILTONSHOP_DESC,Migliora Basilton per aumentare il numero di appezzamenti che puoi piazzare.
FACILITY_BASILTONSHOP_LEVEL1_DESC,Porta il limite di appezzamenti a 40. Basilton vende semi di Tenderberry e Thaumablossom.
FACILITY_BASILTONSHOP_LEVEL2_DESC,Porta il limite di appezzamenti a 60. Basilton vende semi di Emberbloom e Campanula Canterina.
FACILITY_BASILTONSHOP_NAME,Fattoria di Basilton
FACILITY_BEFRSHOP_DESC,Negozio di Befr
FACILITY_BEFRSHOP_LEVEL1_DESC,"Befr vende strumenti in pietra, pozioni minori, ricette base e il set costruttivo in pietra di fondazioni, muri e recinti."
FACILITY_BEFRSHOP_LEVEL2_DESC,"Befr vende strumenti in rame, ricette avanzate di alchimia e da lancio, e il set costruttivo in durame di fondazioni, muri e recinti."
FACILITY_BEFRSHOP_NAME,Negozio di Befr
FACILITY_HANGINGBRIDGE_DESC,Conduce a 
FACILITY_HANGINGBRIDGE_LEVEL1_DESC,Costruisci un ponte sospeso per superare il dirupo.
FACILITY_HANGINGBRIDGE_NAME,Ponte di Briar Heart
FACILITY_HEIMANSHOP_DESC,Migliora il palco di Heimen per sbloccare più musica per il suo carillon.
FACILITY_HEIMANSHOP_LEVEL1_DESC,Amplia la dimora di Heimen per accedere a nuovi brani.
FACILITY_HEIMANSHOP_LEVEL2_DESC,Amplia la dimora di Heimen per accedere a nuovi brani.
FACILITY_HEIMANSHOP_NAME,Negozio di Heimen
FACILITY_MANGASHOP_DESC,Migliora Manga per ottenere più essenza runica recuperando le rune.
FACILITY_MANGASHOP_LEVEL1_DESC,Guadagno essenza runica: +10% grezza e modellata
FACILITY_MANGASHOP_LEVEL2_DESC,Guadagno essenza runica: +20% grezza e modellata
FACILITY_MANGASHOP_NAME,Fucina di Manga
FACILITY_MYRLLSHOP_DESC,Negozio di Myrll
FACILITY_MYRLLSHOP_LEVEL1_DESC,"Recinto: 12 posti, allena i compagni fino al livello 4, +10% XP del recinto."
FACILITY_MYRLLSHOP_LEVEL2_DESC,"Recinto: 24 posti, allena i compagni fino al livello 6, +20% XP del recinto."
FACILITY_MYRLLSHOP_NAME,Negozio di Myrll
FACILITY_REQUIRED_MATS,Materiali richiesti
FACILITY_SAQISHOP_DESC,Migliora Saqi per ampliare il suo menu di pasti preparati.
FACILITY_SAQISHOP_LEVEL1_DESC,Saqi serve piatti sostanziosi da stufa e bevande speciali.
FACILITY_SAQISHOP_LEVEL2_DESC,Saqi serve banchetti pregiati e piatti che donano resistenza.
FACILITY_SAQISHOP_NAME,Cucina di Saqi
FACILITY_WILDWOODBRIDGE_DESC,Ponte di Earlwood
FACILITY_WILDWOODBRIDGE_LEVEL1_DESC,Ricostruisci il ponte di Earlwood
FACILITY_WILDWOODBRIDGE_NAME,Ponte di Earlwood
FORGE_ITEM_LEVEL,livello {0}
FORGE_NEW_STAT,Nuova statistica
FORGE_STAT_MAXED,(MAX)
HARVEST_APPLE,Mela
HARVEST_CARROT,Carota
HARVEST_COAL,Carbone
HARVEST_COPPER,Rame
HARVEST_DONATION,Donazione
HARVEST_EMBERBLOOM,Emberbloom
HARVEST_GEMINI,Gemini
HARVEST_HEARTOAKLOG,Tronco di Quercia del Cuore
HARVEST_IRON,Ferro
HARVEST_LARGEROCKA,Roccia grande A
HARVEST_LARGEROCKB,Roccia grande B
HARVEST_LOGA,Tronco A
HARVEST_LOGB,Tronco B
HARVEST_LOGC,Tronco C
HARVEST_LOOSESTONE,Pietra smossa
HARVEST_PINEWOODBRANCH,Ramo di pino
HARVEST_PINEWOODLOG,Tronco di pino
HARVEST_POTATO,Patata
HARVEST_SALT,Sale
HARVEST_SINGINGBELLFLOWER,Campanula Canterina
HARVEST_SMALLROCK,Roccia piccola
HARVEST_TENDERBERRY,Tenderberry
HARVEST_THAUMABLOSSOM,Thaumablossom
HARVEST_WOOLANDFLAX,Lino silvestre
INTERACTREWARD_ENCUMBRANCE,Ingombro massimo aumentato. Puoi trasportare di più.
INTERACTREWARD_PETUNLOCK,Nuovo compagno disponibile al Negozio di Myrll
ITEMBARSLOT_BANDAGE,Benda
ITEMBARSLOT_BOONPOTION,Pozione del Favore
ITEMBARSLOT_BURNSALVE,Unguento per ustioni
ITEMBARSLOT_CONCENTRATIONPOTION,Pozione di concentrazione
ITEMBARSLOT_HEALTHPOTION,Pozione di salute
ITEMBARSLOT_OFFENSIVETOOL,Strumento offensivo
ITEMBARSLOT_POISONCURE,Antidoto
ITEMBARSLOT_STAMINAPOTION,Pozione di vigore
ITEMBARSLOT_WEAPONOIL,Olio per armi
ITEMCAT_CONCENTRATIONPOTION,Pozione di concentrazione
ITEMCAT_CURE,Cura
ITEMCAT_DRINK,Bevanda
ITEMCAT_FOOD,Cibo
ITEMCAT_HARVESTTOOL,Strumento di raccolta
ITEMCAT_HEALTHPOTION,Pozione di salute
