Acorn	Ghianda
Aimed Shot	Tiro mirato
Alaric	Alaric
Aldoria	Aldoria
Armor	Armatura
Arrows	Frecce
Attack Speed	Velocità d'attacco
Attacks	Attacchi
Backstep	Passo indietro
Backstep Strike	Colpo in arretramento
Barakthrum	Barakthrum
Basilton	Basilton
Befr	Befr
Betting Rounds	Giri di puntata
Blade Dance	Danza delle lame
Bleeding	Sanguinamento
Blunt	Contundente
Blunt Damage	Danno contundente
Bonus	Bonus
Boulder Toss	Lancio di masso
Breath	Soffio
Burning	Ustione
Ceres	Ceres
Channel	Canalizzazione
Charge	Carica
Charges	Cariche
Chill	Gelo
Chilled	Assiderato
Chilling	Agghiacciante
Chrono Spike	Spina cronale
Cleave	Fendente
Clone	Clone
Coagulating	Coagulante
Concentration	Concentrazione
Concentration Regeneration	Rigenerazione della concentrazione
Contagion	Contagio
Convergence	Convergenza
Cooldown	Tempo di recupero
Corin	Corin
Cornu Charge	Carica di Cornu
Corrupting	Corrompente
Corruption	Corruzione
Crit Chance	Probabilità di critico
Crit Damage	Danno critico
Critical Chance	Probabilità di critico
Critical Damage	Danno critico
Crossbow Swap	Cambio a balestra
Daggers	Pugnali
Damage	Danno
Dance	Danza
Decay	Decadimento
Decay Damage	Danno da decadimento
Deed Board	Bacheca degli incarichi
Dimraeth	Dimraeth
Double Strike	Colpo doppio
Dragon	Drago
Dryad	Driade
Dryads	Driadi
Duration	Durata
Earlwood	Earlwood
Earlwood Village	Villaggio di Earlwood
Echo	Eco
Echo Rift	Fenditura d'eco
Echoed	Riecheggiato
Echoes of Mutilation	Echi di mutilazione
Echoing	Echeggiante
Eldorian	Eldorian
Electricity	Elettricità
Electricity Damage	Danno da elettricità
Elven	Elfico
Emberbloom	Emberbloom
Enraging	Infuriante
Envenoming	Avvelenante
Ether	Etere
Ether Damage	Danno da etere
Faustas	Faustas
Final Attack	Attacco finale
Fire	Fuoco
Fire Damage	Danno da fuoco
Fire Resistance	Resistenza al fuoco
Fireball	Palla di fuoco
Flaring	Fiammeggiante
Flashheating	Incandescente
Forest	Foresta
Forest Heart	Cuore della Foresta
Forest King	Re della Foresta
Fracturing	Fratturante
Frenzy	Frenesia
Frost Glide	Scivolata gelida
Frost Javelin	Giavellotto gelido
Frostbound	Vincolo gelido
Full Health	Salute massima
Furious Strike	Colpo furioso
Glide	Scivolata
Glimmerflax	Glimmerflax
Goblin	Goblin
Goblin King	Re Goblin
Goblins	Goblin
Guild	Gilda
Guild Hall	Sede della Gilda
Hail	Grandine
Harvesting	Mietente
Haylor	Haylor
Haylors	Haylor
Health	Salute
Heart Oak	Quercia del Cuore
Heimen	Heimen
Hide Item Tooltips	Nascondi descrizioni oggetti
Hook	Gancio
Hunger	Fame
Hunter	Cacciatore
Ice Damage	Danno da ghiaccio
Ice Pool	Pozza di ghiaccio
Ice Pools	Pozze di ghiaccio
Increase	Aumento
Inoculating	Inoculante
Inoculation	Inoculazione
Interrupting	Interruzione
Inventory	Inventario
Javelin	Giavellotto
Kindled	Ravvivato
Kindling	Innesco
King	Re
Limitless Onslaught	Assalto illimitato
Magic Damage	Danno magico
Magic Power	Potere magico
Manga	Manga
Mayor	Sindaco
Mill	Mulino
Minotaur	Minotauro
Mirkea	Mirkea
Monster	Mostro
Movement Speed	Velocità di movimento
Mutilation	Mutilazione
Myrll	Myrll
Nourishment	Nutrimento
Old Ones	Antichi
On Cooldown	In recupero
Onslaught	Assalto
Outbreak	Epidemia
Physical	Fisico
Physical Damage	Danno fisico
Physical Piercing	Penetrazione fisica
Physical Power	Potere fisico
Piercing	Penetrazione
Plague Magic	Magia della peste
Plague Shards	Frammenti di peste
Players	Giocatori
Poison	Veleno
Poison Cure	Antidoto
Poison Mist	Nebbia velenosa
Poisoned	Avvelenato
Power Hook	Gancio potente
Pressure	Pressione
Prime Principles	Principi Primi
Pulverize	Polverizza
Purging	Purgante
Quake	Sisma
Quick Jab	Jab rapido
Rage	Furia
Raging	Furente
Rahaner	Rahaner
Ranged Final Attack	Attacco finale a distanza
Regeneration	Rigenerazione
Rending	Lacerante
Resistance	Resistenza
Rift	Fenditura
Rounds	Round
Ruptured	Lacerato
Sanctum	Santuario
Saqi	Saqi
Seismic Stampede	Carica sismica
Shadow Art	Arte dell'ombra
Shadow Clone	Clone d'ombra
Shadow Clones	Cloni d'ombra
Shadow Convergence	Convergenza d'ombra
Shadow Dagger	Pugnale d'ombra
Shadow Daggers	Pugnali d'ombra
Shards	Frammenti
Shattering	Frantumante
Shock	Scossa
Shop	Negozio
Shot	Tiro
Singing Bellflower	Campanula Canterina
Slow	Rallentamento
Spell Haste	Celerità magica
Spike	Spina
Stamina	Vigore
Stamina Regeneration	Rigenerazione del vigore
Stampede	Carica travolgente
Stealth	Furtività
Stone	Pietra
Straight	Diretto
Strike	Taglio
Strike Damage	Danno da taglio
Strong Straight	Diretto potente
Stun Build	Accumulo di stordimento
Stun Damage	Danno da stordimento
Stunned	Stordito
Surge	Ondata
Surged	Montante
Surging	Montante
Swap	Cambio
Sword Swap	Cambio a spada
Sylbos	Sylbos
Tamsin	Tamsin
Temporal	Temporale
Temporal Echo	Eco temporale
Temporal Surge	Ondata temporale
Thaumablossom	Thaumablossom
Thirst	Sete
Thrust	Perforante
Thrust Damage	Danno perforante
Timeless Void	Vuoto eterno
Trap	Trappola
Traveller	Viandante
Tyrant Quake	Sisma del Tiranno
Vanish	Dissolvenza
Vanishing Strike	Colpo dissolvente
Vehement Cleave	Fendente veemente
Void	Vuoto
Vortex	Vortice
Wave	Onda
Wave Strike	Colpo d'onda
Waygate	Varco
Waygates	Varchi
Weapon Swap	Cambio arma
Well Rested Buff	Bonus Ben Riposato
Wildwood	Wildwood
Wildwood Pine	Pino di Wildwood
Wolves	Lupi
