ARCHETYPE_AERIE_DEFENDER	Difensore del Nido
ARCHETYPE_ANCESTRAL_MYSTIC	Mistico Ancestrale
ARCHETYPE_BEASTLAND_MYSTIC	Mistico delle Terre Ferine
ARCHETYPE_BLOSSOM_SOULCALLER	Evocatore di Anime dei Fiori
ARCHETYPE_BOGLAND_HEALER	Guaritore delle Torbiere
ARCHETYPE_BRIDGE_KEEPER	Custode del Ponte
ARCHETYPE_CLOUDSHADOW_ASSASSIN	Assassino dell'Ombra delle Nubi
ARCHETYPE_COLOSSAL_BRAWLER	Rissoso Colossale
ARCHETYPE_DEEPVEIN_STALKER	Predatore delle Vene Profonde
ARCHETYPE_DEFENDER_OF_THE_REALM	Difensore del Regno
ARCHETYPE_DEWDROP_SPY	Spia della Rugiada
ARCHETYPE_ELEMENTAL_BINDER	Vincolatore Elementale
ARCHETYPE_ETERNAL_SCULPTOR	Scultore Eterno
ARCHETYPE_FOREST_WHISPERER	Sussurratore della Foresta
ARCHETYPE_FORGEWRIGHT	Artefice della Fucina
ARCHETYPE_GRANITE_SENTINEL	Sentinella di Granito
ARCHETYPE_GRASSLAND_AMBUSHER	Assalitore delle Praterie
ARCHETYPE_HAMMERFALL_BERSERKER	Berserker del Martello Tonante
ARCHETYPE_HOOFED_FURY	Furia degli Zoccoli
ARCHETYPE_HORNED_VANGUARD	Avanguardia Cornuta
ARCHETYPE_IRONHOLD_WARDEN	Custode di Roccaferrea
ARCHETYPE_LABYRINTH_GUARDIAN	Guardiano del Labirinto
ARCHETYPE_MARSH_BERSERKER	Berserker delle Paludi
ARCHETYPE_MASTER_ARCHITECT	Mastro Architetto
ARCHETYPE_MIRE_ENGINEER	Ingegnere del Pantano
ARCHETYPE_MONUMENTAL_MASON	Muratore Monumentale
ARCHETYPE_NATURE'S_ARTISAN	Artigiano della Natura
ARCHETYPE_NECTARBLADE_FIGHTER	Guerriero della Lama di Nettare
ARCHETYPE_NESTMASTER_ENGINEER	Ingegnere Maestro dei Nidi
ARCHETYPE_NIGHT'S_WHISPER	Sussurro della Notte
ARCHETYPE_PEBBLE_SNEAK	Furtivo dei Ciottoli
ARCHETYPE_PETAL_CONSTRUCTOR	Costruttore dei Petali
ARCHETYPE_PIXIE_SPELLWEAVER	Tessincantesimi Folletto
ARCHETYPE_PLAINSWALKER_MAGE	Mago Viandante delle Pianure
ARCHETYPE_PRAIRIE_SEER	Veggente della Prateria
ARCHETYPE_RUNEFORGE_MAGE	Mago della Fucina Runica
ARCHETYPE_SAVANNA_CRAFTSMAN	Artigiano della Savana
ARCHETYPE_SKY_SORCERER	Stregone del Cielo
ARCHETYPE_SPIRIT_GUARDIAN	Guardiano degli Spiriti
ARCHETYPE_STEPPE_VANGUARD	Avanguardia della Steppa
ARCHETYPE_STONE_SPIRITIST	Spiritista della Pietra
ARCHETYPE_SWAMP_WARLOCK	Stregone della Palude
ARCHETYPE_SYLVAN_PROTECTOR	Protettore Silvano
ARCHETYPE_TALON_KNIGHT	Cavaliere dell'Artiglio
ARCHETYPE_THISTLESHIELD_WARDEN	Custode dello Scudo di Cardi
ARCHETYPE_UNDERBRIDGE_ROGUE	Furfante del Sottoponte
ARCHETYPE_WINDSPIRIT_SHAMAN	Sciamano dello Spirito del Vento
ATTR_ADVENTURE_DESC	Avventura rappresenta il coraggio e le capacità esplorative del giocatore.
ATTR_AGILITY_DESC	Agilità migliora la velocità di movimento e la destrezza.
ATTR_ArmorPenetrationPercent	% Penetrazione dell'armatura
ATTR_AttackDamage	% Danno d'attacco
ATTR_CHARISMA_DESC	Carisma migliora le interazioni sociali e l'influenza sui PNG.
ATTR_ChilledPower	% Potenza del gelo
ATTR_ConcentrationOnHit	 Concentrazione al colpo
ATTR_CriticalChance	% Probabilità di critico
ATTR_CriticalDamage	% Moltiplicatore critico
ATTR_DamageVsLowHealth40	% Danno vs. <40% HP
ATTR_ENERGY_DESC	Energia rappresenta la tenacia e la resistenza del giocatore.
ATTR_GuardEfficiency	% Efficienza della guardia
ATTR_HPPercent	% HP
ATTR_HealingPower	% Potere curativo
ATTR_INTELLIGENCE_DESC	Intelligenza potenzia le capacità magiche e di risoluzione dei problemi.
ATTR_MEMORY_DESC	Memoria influisce sulla capacità del giocatore di ricordare dettagli essenziali.
ATTR_MinionCriticalChance	% Probabilità di critico dei servitori
ATTR_MinionDamage	% Danno dei servitori
ATTR_MinionHealth	% Salute dei servitori
ATTR_PHYSIQUE_DESC	Costituzione determina la forza fisica e il vigore.
ATTR_ResistancePenetrationPercent	% Penetrazione delle resistenze
ATTR_STRENGTH_DESC	Forza influisce sulla potenza in combattimento ravvicinato.
ATTR_StunBuildupIncrease	% Accumulo di stordimento
ATTR_TMPL_ARMORPENETRATION	<x1/> Penetrazione dell'armatura
