CODEX_BUILDBARRELCHAIR_DESC	Sedie a botte del Villaggio di Earlwood.
CODEX_BUILDDIRTPATCH_DESC	Una porzione di terreno arato. Puramente decorativa: puoi costruirci sopra qualsiasi cosa.
CODEX_BUILDDUMMY_DESC	Un manichino da allenamento in legno
CODEX_BUILDEARLWOODBANNER_DESC	Stendardo del Villaggio di Earlwood
CODEX_BUILDEARLWOODBED_DESC	Un robusto letto del villaggio per dormire e recuperare. Usa per dormire. <x1/> Conferisce il Bonus Ben Riposato: <x2/> Bonus XP dai mostri: 15% <x3/> Decadimento di Fame e Sete ridotto: 10% <x4/> Durata: 15 minuti
CODEX_BUILDEARLWOODPOTPLANT_DESC	Piante in vaso del Villaggio di Earlwood
CODEX_BUILDEARLWOODWALLBANNER_DESC	Stendardo da muro del Villaggio di Earlwood
CODEX_BUILDHEARTOAKDOORWAY_DESC	Telaio in Durame
CODEX_BUILDHEARTWOODDOOR_DESC	Tieni chiusa la tua stanza
CODEX_BUILDHEARTWOODDOOR_NAME	Porta in Durame
CODEX_BUILDHEARTWOODFOUNDATION_DESC	Una fondazione in durame per una casa.
CODEX_BUILDLARGETENT_DESC	Una tenda da spedizione logora per allestire un campo. Usa per dormire. <x1/> Conferisce il Bonus Ben Riposato: <x2/> Bonus XP dai mostri: 10% <x3/> Decadimento di Fame e Sete ridotto: 5% <x4/> Durata: 10 minuti
CODEX_BUILDLINENRUG_DESC	Un semplice tappeto di lino colorato
CODEX_BUILDPINEWOODCHAIR_DESC	Una semplice sedia di legno.
CODEX_BUILDPINEWOODDOORFRAME_DESC	Telaio di Pino
CODEX_BUILDPINEWOODMILL_DESC	Un mulino che produce periodicamente Pino di Wildwood da raccogliere.
CODEX_BUILDPINEWOODWALL_DESC	Muri di Pino
CODEX_BUILDTALLEARLWOODPOTPLAN_DESC	Piante in vaso del Villaggio di Earlwood
