Accelerated Hemorrhage	Emorragia accelerata
Adaptive Swiftness	Rapidità adattiva
Adept of Time	Adepto del tempo
afterimage	immagine residua
Ambidextrous Precision	Precisione ambidestra
Ambush Volley	Salva d'imboscata
Anchored Convergence	Convergenza ancorata
Anchored Glide	Scivolata ancorata
Arcane Momentum	Slancio arcano
Arcane Skirmisher	Schermagliatore arcano
Auto Strike	Colpo automatico
Barrage of Arrows	Sbarramento di frecce
Berserker Blood	Sangue del berserker
Bestial Force	Forza bestiale
Blackblood Adept	Adepto del sangue nero
Blade Dance Extra Strikes I	Colpi extra di Danza delle lame I
Blade Dance Extra Strikes II	Colpi extra di Danza delle lame II
Blade Dance Extra Strikes III	Colpi extra di Danza delle lame III
Blade Discipline	Disciplina della Lama
Blightfire Quiver	Faretra del fuoco infetto
Blood Borne	Nato dal sangue
Blood Fury	Furia sanguinaria
Blood-lusted Brawler	Rissoso assetato di sangue
Bloodkindled Focus	Concentrazione ravvivata dal sangue
Bloodrush Frenzy	Frenesia del sangue impetuoso
Bloodscent Charge	Carica dell'odore del sangue
Bloodscent Hunter	Cacciatore dell'odore del sangue
Bludgeon and Bleed	Percuoti e dissangua
Blunt Cleave	Fendente Contundente
Blunt Strike	Colpo Contundente
Blurred Guard	Guardia sfocata
Bonebreaker	Spaccaossa
Boulder Slam	Schianto di masso
Bovine Fervour	Fervore bovino
Brawler's Might	Possanza del Rissoso
Breathless Passage	Passaggio senza respiro
Broadhead Shot	Tiro a punta larga
Bursting Contagion	Contagio esplosivo
Butcher's Reward	Ricompensa del macellaio
Cascading Inferno	Inferno a cascata
Centered Blizzard	Tormenta centrata
Chain Trap	Trappola a catena
Channeled Shards	Frammenti canalizzati
Channelled Dragon	Drago canalizzato
Channelled Javelin	Giavellotto canalizzato
Charge Stun Amplification	Amplificazione della carica contro storditi
Charged Fireball	Palla di fuoco carica
Child of Blood And Stone	Figlio del sangue e della pietra
Child of the Bloodhorn	Figlio del Corno Sanguinario
Chillbinder	Vincolagelo
Chilling Blizzard	Tormenta Agghiacciante
Chilling Dragon	Drago Agghiacciante
Chilling Glide	Scivolata Agghiacciante
Chilling Inferno	Inferno Agghiacciante
Chilling Javelin	Giavellotto Agghiacciante
Chrono Spike Stack Consumption Increase I	Aumento consumo cariche di Spina cronale I
Chrono Spike Stack Consumption Increase II	Aumento consumo cariche di Spina cronale II
Chrono Spike Stack Consumption Increase III	Aumento consumo cariche di Spina cronale III
Cinder Weaver	Tessitore di brace
Cinder-Gored Strikes	Colpi di brace cruenta
Cinderbank Inferno	Inferno accumulabraci
Cinderbank Inferno Increase I	Aumento Inferno accumulabraci I
Cinderbank Inferno Increase II	Aumento Inferno accumulabraci II
Cinderbank Inferno Increase III	Aumento Inferno accumulabraci III
Cinderstorm Flurry	Raffica di tempesta di brace
Closing Window	Opportunità in chiusura
Coagulating Contagion	Contagio Coagulante
Coagulating Dance	Danza Coagulante
Coagulating Outbreak	Epidemia Coagulante
Combusting Dragon	Drago comburente
Combusting Dragon Increase I	Aumento Drago comburente I
Combusting Dragon Increase II	Aumento Drago comburente II
Combusting Dragon Increase III	Aumento Drago comburente III
Combusting Fireball	Palla di fuoco comburente
Combusting Fireball Increase I	Aumento Palla di fuoco comburente I
Combusting Fireball Increase II	Aumento Palla di fuoco comburente II
Combusting Fireball Increase III	Aumento Palla di fuoco comburente III
Combusting Inferno	Inferno comburente
Combusting Inferno Increase I	Aumento Inferno comburente I
Combusting Inferno Increase II	Aumento Inferno comburente II
Combusting Inferno Increase III	Aumento Inferno comburente III
Concentrated Dragon	Drago concentrato
Concussive Quake	Sisma concussivo
Conditioned Exploitation	Sfruttamento degli stati
Contagion Radius Increase I	Aumento raggio di Contagio I
Contagion Radius Increase II	Aumento raggio di Contagio II
Contagion Radius Increase III	Aumento raggio di Contagio III
Continuous Wave	Onda continua
Converging Daggers	Pugnali convergenti
cooldown refund	rimborso del tempo di recupero
Cornu Charge Range Increase I	Aumento portata di Carica di Cornu I
Cornu Charge Range Increase II	Aumento portata di Carica di Cornu II
Cornu Charge Range Increase III	Aumento portata di Carica di Cornu III
Cornu Shockwave	Onda di Shock di Cornu
Cornu Shockwave Size Increase I	Aumento dimensioni di Onda di Shock di Cornu I
Cornu Shockwave Size Increase II	Aumento dimensioni di Onda di Shock di Cornu II
Cornu Shockwave Size Increase III	Aumento dimensioni di Onda di Shock di Cornu III
Corrupting Arrow	Freccia Corrompente
Corrupting Convergence	Convergenza Corrompente
Corrupting Daggers	Pugnali Corrompente
Corrupting Hail	Grandine Corrompente
Corrupting Trap	Trappola Corrompente
Corrupting Vanish	Dissolvenza Corrompente
Corrupting Wave	Onda Corrompente
Crimson Reaper	Mietitore cremisi
Crippling Backstep	Passo indietro storpiante
Crippling Spike	Spina storpiante
Crippling Spike Increase I	Aumento Spina storpiante I
Crippling Spike Increase II	Aumento Spina storpiante II
Crippling Spike Increase III	Aumento Spina storpiante III
Critical Chance vs below 40% Health	Probabilità di critico contro bersagli sotto il 40% di Salute
Critical Chance vs. below 40% Health	Probabilità di critico contro bersagli sotto il 40% di Salute
Critical Chance vs. Low Health	Probabilità di critico vs. salute bassa
Crossbow Discipline	Disciplina della Balestra
Cryo Surge	Ondata criogenica
Culling Whisper	Sussurro abbattente
Cycling Strikes	Colpi ciclici
Damage % vs below 40% Health	Danno % contro bersagli sotto il 40% di Salute
Damage vs. Low Health	Danno vs. salute bassa
damage-over-time	danno nel tempo
Dazing Ambush	Imboscata frastornante
Dazing Stampede	Carica travolgente frastornante
Decayed Quarry	Preda decomposta
Dragon's Breath Cooldown Reduction I	Riduzione recupero di Soffio del Drago I
Dragon's Breath Cooldown Reduction II	Riduzione recupero di Soffio del Drago II
Dragon's Breath Cooldown Reduction III	Riduzione recupero di Soffio del Drago III
Dragon's Breath Damage Increase I	Aumento danno di Soffio del Drago I
Dragon's Breath Damage Increase II	Aumento danno di Soffio del Drago II
Dragon's Breath Damage Increase III	Aumento danno di Soffio del Drago III
Dragon's Breath Rate Of Fire Increase I	Aumento cadenza di tiro di Soffio del Drago I
Dragon's Breath Rate Of Fire Increase II	Aumento cadenza di tiro di Soffio del Drago II
